Question,A,B,C,D
"It is an electronic/electromechanical system designed to perform a specific function using a combination of both hardware and firmware (software).","Embedded system","Electronic machine","Memory unit","None of the above"
"The seven LEDs arranged in a specific pattern to form numerals or characters are collectively known as:","LED shield","LCD shield","7-Segment display","None of the above"
"In the common anode display, all the anode connections of the LED segments are joined together to logic '1'.","This statement is true.","LED segments are joined together to logic '0'.","Answer A and B","Neither A nor B"
"In the common cathode display, all the cathode connections of the LED segments are joined together to logic '0' or ground.","This statement is true.","LED segments are joined together to logic '1'.","Answer A and B","Neither A nor B"
"The digital IO pins can be inputs or outputs specified by the sketch you create in the IDE. How many digital pins does the Arduino Uno have?","0-12 pins","0-13 pins","0-14 pins","0-15 pins"
"The analog Input pins are dedicated analog input pins that take analog values and convert them into a number between 0 and 1023. How many analog pins does the Arduino have?","0-4 pins","0-5 pins","0-6 pins","0-7 pins"
"It is a read-only memory programmed at the factory that the user cannot change or alter.","BIOS","PROM","EPROM","None of the above"
"Which among the below-stated salient feature/s of SPI contribute to the wide range of its applicability?","Simple hardware interfacing","Full duplex communication","Low power requirement","All of the above"
"Which characteristic/s of the two-wire interface (TWI) make it equally valuable in comparison to the serial-peripheral interface (SPI)?","Less number of pins on IC packages than SPI","It possesses formal standards, unlike SPI.","Slave Addressing before communication & better hardware control.","All of the above"
"What is the maximum speed of operating frequency exhibited by SPI as compared to that of TWI?","Less than 10 MHz","Greater than 10 MHz","Equal to 10 MHz","None of the above"
"Which development tool/program has the potential to allocate the specific addresses to load the object code into memory?","Loader","Locator","Library","Linker"
"The assembler list file generated by an assembler mainly includes _______.","binary codes","assembly language statements","offset for each instruction.","All of the above"
"Which kind of assembler does not generate the programs in a similar language to that used by micro-controllers by developing the program in high-level languages, making them machine independent?","Macro Assembler","Cross Assembler","Meta Assembler","All of the above"
"What kind of address is usually assigned to the program by the linker adopted in the execution of the assembler?","Absolute Address","Relative Address starting from unity","Relative Address starting from zero.","None of the above"
"What is the major form of functionality associated with high-level language compilers?","Generation of an application program","Conversion of generated code from higher-level language to machine-level language","Both a & b","None of the above"
"Which development tool can facilitate the creation and modification of source programs in addition to assembly and higher-level languages?","Editor","Assembler","Debugger","High-level language Compiler"
"EPROM Programming versions are of greater significance to designers for _______.","Debugging of hardware prototype","Debugging of software prototype","Loading the programs in microcontrollers","All of the above"
"What does GPIO stand for?","General Purpose Inner Outer Propeller","General Purpose Input Output Pins","General Purpose Interested Old People","General Purpose Input Output Processor"
"___________ are pre-built circuit boards that fit on top of Android.","Sensor","Data types","Breadboard","Shields"
"What license is Arduino distributed under?","Proprietary with GNU GPL Ambient user interface","Proprietary","Shareware","LGPL or GPL license"
"What does IDE stand for?","In Deep Environment","Integrated Development Environment","Internal Deep Escape","IDE"
"Which board is the first to use a microcontroller within build USB?","LilyPad","UNO","RedBoard","Leonardo"
"A program written with the IDE for Arduino is called _______.","IDE source","Sketch","Cryptography","Source code"
"__________ board allows sewn into clothing.","UNO","RedBoard","LilyPad","Mega"
"A function is a series of programming statements that can be called by name. Which command is called once when the program starts?","loop()","setup()","output","input"
"It starts with a /* and continues until a */. What does this do?","Loads a sketch.","Makes comments","Compiles quicker","Makes stars appear."
"It is one of the components of the Arduino platform that contains the microcontroller, other peripheral components, and input-output ports.","IDE","LED Shield","Bluetooth Shield","Arduino Board"
"Which component is replaced by an in-circuit emulator on the development board for testing purposes?","RAM","I/O Ports","Microcontroller IC","All of the above"
"It is feasible for an in-circuit emulator to terminate in the middle of the program execution to examine the contents of _______.","memory","registers","Both a & b","None of the above"
"Which operations are not feasible to perform by simulator programs using real-time programming?","Memory Operations","I/O Operations","Register Operations","Debugging Operations"
"What is/are the possible ways/s of displaying the data by a logic analyzer?","Logic state format","Hexadecimal & Map format","Timing diagram format","All of the above"
"What is/are the consequences of driving the LED in the form of an output function?","Pin sources the current when made low without a glowing LED.","Pin sinks the current when made high without a glowing LED.","Pin sources the current when made high by a glowing LED.","Pin sinks the current when made low by a glowing LED."
"What is the possible range of the current-limiting resistor essential for lighting the LED in certain applications after pressing the push button?","25-55 Ω","55-110 Ω","110-220 Ω","220-330 Ω"
"Which among the below-given assertions exhibits the dependency of the LED status on them, especially for the LED and push button connection?","Closure of pushbutton","Low Output pin is driven by microcontroller","Both a & b","None of the above"
"Which of the following is the correct syntax to declare a variable in Arduino?","variableName;","var varName;","C. var name;","int varName;"
"What is the function used to initialize the Arduino board and set the initial configuration?","void start();","void setup();","void initialize();","void begin();"
"What is the purpose of the delay() function in Arduino?","To create a pause in program execution for a specified time.","To slow down serial communication.","To define the length of a loop.","To increase the brightness of an LED."
"Which function is used to read the value from an analog pin in Arduino?","readDigital();","digitalRead();","analogRead();","readAnalog();"
"What is the range of values returned by the analogRead() function in Arduino?","0 to 255","0 to 1023","-127 to 127","-1023 to 1023"
"Which Arduino function is used to write a value to a specific digital pin?","digitalWrite();","analogWrite();","pinWrite();","writeDigital();"
"Which Arduino function is used to set the mode of a pin to either input or output?","pinMode();","setMode();","setPinMode();","mode();"
"What does the Serial.begin() function do in Arduino?","Initializes the serial communication with the specified baud rate.","Begins the execution of the main loop.","Sets the pin mode for serial communication.","Prints a message to the serial monitor."
"Which Arduino function is used to map a value from one range to another?","scale();","remap();","map();","convert();"
"What is the purpose of the void loop() function in Arduino?","It runs only once when the Arduino is powered on.","It initializes the program and sets up the necessary configurations.","It continuously repeats the code inside the loop.","It stops the program execution."
"Which bitwise operator in Arduino performs a bitwise AND operation?","&","|","^","~"
"What is the result of the following operation: 0b1010 & 0b1100?","0b1000","0b1111","0b0010","0b0100"
"Which bitwise operator in Arduino performs a bitwise OR operation?","&","|","^","~"
"What is the result of the following operation: 0b1010 | 0b1100?","0b1000","0b1110","0b0010","0b0100"
"Which bitwise operator in Arduino performs a bitwise XOR (exclusive OR) operation?","&","|","^","~"
"What is the value of x after executing the following code? int x = 5; int result = ++x;","5","6","7","Compilation error"
"What is the value of y after executing the following code? int y = 10; int result = y++;","9","10","11","Compilation error"
"What is the value of 'a' after executing the following code? int a = 3; int result = a++ + ++a;","4","5","7","Compilation error"
"What is the value of 'b' after executing the following code? int b = 2; int result = ++b + b++;","3","4","5","Compilation error"
"What is the value of 'c' after executing the following code? int c = 7; int result = c-- - --c;","4","5","6","Compilation error"
"What is the value of 'd' after executing the following code? int d = 8; int result = d-- + d++;","8","15","16","Compilation error"
"What is the result of the following expression? bool result = true && false;","True","False","Compiler error","Undefined"
"What is the value of 'x' after executing the following code? int x = 5; bool condition = (x > 3) || (x < 2);","True","False","5","Undefined"
"What is the value of 'y' after executing the following code? int y = 10; bool condition = (y <= 10) && (y >= 5);","True","False","10","Undefined"
"What is the value of 'w' after executing the following code? int w = 4; bool condition = (w == 4) && (w != 6);","True","False","4","Undefined"
"What is the value of 'v' after executing the following code? int v = 12; bool condition = (v > 10) || (v < 8);","True","False","12","Undefined"
